;Unnamed: 0;Annee;MoyenneRegion;Region;Population;Parc nucléaire (MW);Parc thermique fossile (MW);Parc hydraulique (MW);Parc éolien (MW);Parc solaire (MW);Parc bioénergies (MW);Essence;Hybride;diesel;GPL;electrique;autre;Essence_pop;Hybride_pop;diesel_pop;GPL_pop;electrique_pop;autre_pop
0;0;2014;76.78830347211186;Ile-de-France;12027565;0.0;5153.0;19.0;19.0;74.0;326.0;107950;13267;206627;340;3523;3;0.8975216513068106;0.11030495366269066;1.7179454029140562;0.0028268398466356243;0.02929104935205089;2.494270452913786e-05
1;1;2015;74.76186944929994;Ile-de-France;12082144;0.0;4644.0;19.0;43.0;79.0;309.0;132630;18402;205715;216;4908;12;1.0977356336756126;0.1523074050433433;1.702636551923235;0.0017877621720118549;0.040621929352936036;9.932012066732527e-05
2;2;2016;67.99044617476207;Ile-de-France;12117132;0.0;4587.0;19.0;43.0;84.0;309.0;157511;17364;198154;51;4936;39;1.2999033104533315;0.14330123662926178;1.63532096539016;0.0004208916763471752;0.04073571204803249;0.00032185834073607516
3;3;2017;50.88544278799655;Ile-de-France;12174880;0.0;2205.0;19.0;70.0;91.0;300.0;166254;22336;183701;110;6080;80;1.365549393505316;0.18345971377130618;1.5088526539891975;0.0009034996648837607;0.04993889056812059;0.0006570906653700077
4;4;2018;57.34060607465085;Ile-de-France;12213447;0.0;2218.0;20.0;70.0;99.0;300.0;185245;25657;158849;271;7837;60;1.5167298797792301;0.2100717348673147;1.3006074370323135;0.0022188658124115165;0.06416697923198914;0.0004912618034859447
5;5;2019;57.68795133923054;Ile-de-France;12262544;0.0;2204.0;20.0;89.0;123.0;317.0;213374;30931;134949;290;10004;158;1.7400467635427037;0.25223966576592916;1.100497580273718;0.0023649252553140684;0.08158176639366187;0.0012884765184124926
8;8;2014;35.77995615804292;Centre-Val de Loire;2577435;11630.0;219.0;92.0;844.0;170.0;75.0;20252;1405;37451;98;515;3;0.7857424144546807;0.05451155897238922;1.4530337331494296;0.0038022297361524154;0.019981105246107078;0.00011639478784140046
9;9;2015;23.57043650793651;Centre-Val de Loire;2578592;11630.0;178.0;92.0;876.0;199.0;76.0;24684;1849;36243;79;790;0;0.9572666013080007;0.07170579913379084;1.405534493242824;0.0030636874697509337;0.03063687469750934;0.0
10;10;2016;20.82348862051309;Centre-Val de Loire;2577866;11630.0;242.0;92.0;950.0;217.0;76.0;29138;1865;33671;9;972;5;1.1303147642274656;0.07234666192889778;1.3061578840793122;0.0003491259824987024;0.03770560610985986;0.00019395887916594582
11;11;2017;21.569117038875106;Centre-Val de Loire;2576252;11630.0;256.0;92.0;1017.0;238.0;76.0;32811;2487;31200;25;1009;6;1.273594353347421;0.09653558735713742;1.2110616508012415;0.0009704019637830461;0.03916542325828374;0.00023289647130793107
12;12;2018;31.100118124341574;Centre-Val de Loire;2572853;11630.0;224.0;93.0;1134.0;271.0;85.0;38707;3378;27301;80;1080;0;1.504438846681097;0.13129393711961002;1.0611177552701223;0.0031093886825248078;0.041976747214084904;0.0
13;13;2019;36.467220198074415;Centre-Val de Loire;2573180;11630.0;220.0;93.0;1255.0;320.0;86.0;40717;3793;25265;63;1497;3;1.5823611251447625;0.14740515626578785;0.9818590226878804;0.002448332413589411;0.058177041637196;0.00011658725778997193
16;16;2018;39.889247602755674;Bourgogne-Franche-Comte;2807807;0.0;385.0;521.0;708.0;271.0;71.0;46933;3247;32500;86;924;1;1.6715180210035805;0.1156418514520407;1.1574869640256613;0.003062888581729442;0.03290824476183726;3.5614983508481885e-05
17;17;2019;22.46838766569949;Bourgogne-Franche-Comte;2805580;0.0;385.0;523.0;808.0;294.0;75.0;48933;3988;29555;83;1246;2;1.744131338261607;0.14214529615979582;1.0534363660989885;0.0029583900655123004;0.04441149423648586;7.128650760270604e-05
