Annee;Region;Population
2022;Auvergne-Rhone-Alpes;8153233
2022;Bourgogne-Franche-Comte;2785393
2022;Bretagne;3402932
2022;Centre-Val de Loire;2564915
2022;Corse;349465
2022;Grand Est;5542094
2022;Hauts-de-France;5987172
2022;Ile-de-France;12395148
2022;Normandie;3307286
2022;Nouvelle-Aquitaine;6081985
2022;Occitanie;6053548
2022;Pays de la Loire;3873096
2022;Provence-Alpes-Cote d'Azur;5131187
2022;Guadeloupe ;372939
2022;Martinique ;350373
2022;Guyane;294436
2022;La Reunion;868846
2022;Mayotte;299348
2021;Auvergne-Rhone-Alpes;8113805
2021;Bourgogne-Franche-Comte;2791809
2021;Bretagne;3386415
2021;Centre-Val de Loire;2567768
2021;Corse;346610
2021;Grand Est;5546553
2021;Hauts-de-France;5994428
2021;Ile-de-France;12348605
2021;Normandie;3313398
2021;Nouvelle-Aquitaine;6058437
2021;Occitanie;6013289
2021;Pays de la Loire;3849977
2021;Provence-Alpes-Cote d'Azur;5116360
2021;Guadeloupe ;377856
2021;Martinique ;356029
2021;Guyane;290528
2021;La Reunion;866181
2021;Mayotte;288348
2020;Auvergne-Rhone-Alpes;8082099
2020;Bourgogne-Franche-Comte;2800016
2020;Bretagne;3370113
2020;Centre-Val de Loire;2570734
2020;Corse;343634
2020;Grand Est;5554478
2020;Hauts-de-France;6001668
2020;Ile-de-France;12308593
2020;Normandie;3319638
2020;Nouvelle-Aquitaine;6033690
2020;Occitanie;5972810
2020;Pays de la Loire;3827922
2020;Provence-Alpes-Cote d'Azur;5098994
2020;Guadeloupe ;380905
2020;Martinique ;360280
2020;Guyane;286032
2020;La Reunion;863197
2020;Mayotte;279319
2019;Auvergne-Rhone-Alpes;8042936
2019;Bourgogne-Franche-Comte;2805580
2019;Bretagne;3354854
2019;Centre-Val de Loire;2573180
2019;Corse;340440
2019;Grand Est;5556219
2019;Hauts-de-France;6004947
2019;Ile-de-France;12262544
2019;Normandie;3325032
2019;Nouvelle-Aquitaine;6010289
2019;Occitanie;5933185
2019;Pays de la Loire;3806461
2019;Provence-Alpes-Cote d'Azur;5081101
2019;Guadeloupe ;384239
2019;Martinique ;364508
2019;Guyane;281678
2019;La Reunion;861210
2019;Mayotte;269579
2018;Auvergne-Rhone-Alpes;7994459
2018;Bourgogne-Franche-Comte;2807807
2018;Bretagne;3335414
2018;Centre-Val de Loire;2572853
2018;Corse;338554
2018;Grand Est;5550389
2018;Hauts-de-France;6004108
2018;Ile-de-France;12213447
2018;Normandie;3327477
2018;Nouvelle-Aquitaine;5979778
2018;Occitanie;5885496
2018;Pays de la Loire;3781423
2018;Provence-Alpes-Cote d'Azur;5052832
2018;Guadeloupe ;387629
2018;Martinique ;368783
2018;Guyane;276128
2018;La Reunion;855961
2018;Mayotte;259621
2017;Auvergne-Rhone-Alpes;7948287
2017;Bourgogne-Franche-Comte;2811423
2017;Bretagne;3318904
2017;Centre-Val de Loire;2576252
2017;Corse;334938
2017;Grand Est;5549586
2017;Hauts-de-France;6003815
2017;Ile-de-France;12174880
2017;Normandie;3330478
2017;Nouvelle-Aquitaine;5956978
2017;Occitanie;5845102
2017;Pays de la Loire;3757600
2017;Provence-Alpes-Cote d'Azur;5030890
2017;Guadeloupe ;390253
2017;Martinique ;372594
2017;Guyane;268700
2017;La Reunion;853659
2017;Mayotte;250143
2016;Auvergne-Rhone-Alpes;7916889
2016;Bourgogne-Franche-Comte;2818338
2016;Bretagne;3306529
2016;Centre-Val de Loire;2577866
2016;Corse;330455
2016;Grand Est;5555186
2016;Hauts-de-France;6006870
2016;Ile-de-France;12117132
2016;Normandie;3335929
2016;Nouvelle-Aquitaine;5935603
2016;Occitanie;5808435
2016;Pays de la Loire;3737632
2016;Provence-Alpes-Cote d'Azur;5021928
2016;Guadeloupe ;394110
2016;Martinique ;376480
2016;Guyane;269352
2016;La Reunion;852924
2016;Mayotte;240987
2015;Auvergne-Rhone-Alpes;7877698
2015;Bourgogne-Franche-Comte;2820940
2015;Bretagne;3293850
2015;Centre-Val de Loire;2578592
2015;Corse;327283
2015;Grand Est;5559051
2015;Hauts-de-France;6009976
2015;Ile-de-France;12082144
2015;Normandie;3339131
2015;Nouvelle-Aquitaine;5911482
2015;Occitanie;5774185
2015;Pays de la Loire;3718512
2015;Provence-Alpes-Cote d'Azur;5007977
2015;Guadeloupe ;397990
2015;Martinique ;380877
2015;Guyane;259865
2015;La Reunion;850727
2015;Mayotte;232189
2014;Auvergne-Rhone-Alpes;7820966
2014;Bourgogne-Franche-Comte;2820623
2014;Bretagne;3276543
2014;Centre-Val de Loire;2577435
2014;Corse;324212
2014;Grand Est;5554645
2014;Hauts-de-France;6006156
2014;Ile-de-France;12027565
2014;Normandie;3335645
2014;Nouvelle-Aquitaine;5879144
2014;Occitanie;5730753
2014;Pays de la Loire;3690833
2014;Provence-Alpes-Cote d'Azur;4983438
2014;Guadeloupe ;400186
2014;Martinique ;383911
2014;Guyane;252338
2014;La Reunion;842767
2014;Mayotte;223713
