;Annee;MoyenneRegion;Region;Population;Parc nucléaire (MW);Parc thermique fossile (MW);Parc hydraulique (MW);Parc éolien (MW);Parc solaire (MW);Parc bioénergies (MW);Essence;Hybride;diesel;GPL;electrique;autre
0;2014;76.78830347211186;Ile-de-France;12027565;0.0;5153.0;19.0;19.0;74.0;326.0;107950;13267;206627;340;3523;3
1;2015;74.76186944929994;Ile-de-France;12082144;0.0;4644.0;19.0;43.0;79.0;309.0;132630;18402;205715;216;4908;12
2;2016;67.99044617476207;Ile-de-France;12117132;0.0;4587.0;19.0;43.0;84.0;309.0;157511;17364;198154;51;4936;39
3;2017;50.88544278799655;Ile-de-France;12174880;0.0;2205.0;19.0;70.0;91.0;300.0;166254;22336;183701;110;6080;80
4;2018;57.34060607465085;Ile-de-France;12213447;0.0;2218.0;20.0;70.0;99.0;300.0;185245;25657;158849;271;7837;60
5;2019;57.687951339230544;Ile-de-France;12262544;0.0;2204.0;20.0;89.0;123.0;317.0;213374;30931;134949;290;10004;158
6;2020;53.67781298003072;Ile-de-France;12308593;0.0;2222.0;20.0;106.34;151.0;320.0;None;None;None;None;None;None
7;2021;56.719914874551975;Ile-de-France;12348605;0.0;2221.0;20.0;127.0;188.0;325.0;None;None;None;None;None;None
8;2018;39.88924760275567;Bourgogne-Franche-Comte;2807807;0.0;385.0;521.0;708.0;271.0;71.0;46933;3247;32500;86;924;1
9;2019;22.468387665699492;Bourgogne-Franche-Comte;2805580;0.0;385.0;523.0;808.0;294.0;75.0;48933;3988;29555;83;1246;2
10;2020;30.531537556961638;Bourgogne-Franche-Comte;2800016;0.0;399.0;523.0;871.99;330.0;77.0;None;None;None;None;None;None
11;2021;32.270155623139956;Bourgogne-Franche-Comte;2791809;0.0;377.0;522.0;954.0;459.0;82.0;None;None;None;None;None;None
12;2014;54.58782265194945;Bourgogne-Franche-Comte;2820623;0.0;332.0;516.0;291.0;172.0;32.0;25612;1636;51396;95;291;0
13;2015;52.46321044546851;Bourgogne-Franche-Comte;2820940;0.0;336.0;519.0;379.0;187.0;34.0;32298;2475;46488;61;569;4
14;2016;46.00801772692762;Bourgogne-Franche-Comte;2818338;0.0;333.0;520.0;467.0;196.0;36.0;37224;1855;42360;27;708;3
15;2017;43.946889282081166;Bourgogne-Franche-Comte;2811423;0.0;372.0;522.0;640.0;241.0;39.0;41272;2452;37613;32;670;2
