Region;Annee;Essence;Hybride;diesel;GPL;electrique;autre
Auvergne-Rhone-Alpes;2014;71553;4570;121267;261;1173;10
Bourgogne-Franche-Comte;2014;25612;1636;51396;95;291;0
Bretagne;2014;26784;1475;44534;112;348;7
Centre-Val de Loire;2014;20252;1405;37451;98;515;3
Corse;2014;7267;104;18059;3;27;0
Grand Est;2014;48338;3062;87564;167;709;20
Hauts-de-France;2014;70713;4581;166780;332;693;9
Ile-de-France;2014;107950;13267;206627;340;3523;3
Normandie;2014;36380;1681;84377;105;510;1
Nouvelle-Aquitaine;2014;48075;3438;93144;228;757;7
Occitanie;2014;44930;3006;85923;203;750;20
Pays de la Loire;2014;27029;1870;45773;153;441;25
Provence-Alpes-Cote d'Azur;2014;54893;3083;77059;153;830;25
Auvergne-Rhone-Alpes;2015;87826;6007;113793;197;2003;28
Bourgogne-Franche-Comte;2015;32298;2475;46488;61;569;4
Bretagne;2015;33180;1997;41010;77;582;10
Centre-Val de Loire;2015;24684;1849;36243;79;790;0
Corse;2015;10893;496;14897;5;31;0
Grand Est;2015;58620;4053;83175;114;1163;19
Hauts-de-France;2015;91330;7151;166234;223;1164;14
Ile-de-France;2015;132630;18402;205715;216;4908;12
Normandie;2015;87826;6007;113793;197;2003;28
Nouvelle-Aquitaine;2015;61454;4239;88976;168;1564;20
Occitanie;2015;57078;3979;81539;118;1341;11
Pays de la Loire;2015;32093;2559;42513;99;970;17
Provence-Alpes-Cote d'Azur;2015;67562;4056;71046;108;1286;12
Auvergne-Rhone-Alpes;2016;101812;5911;109989;50;2898;25
Bourgogne-Franche-Comte;2016;37224;1855;42360;27;708;3
Bretagne;2016;38334;2246;38055;12;1018;9
Centre-Val de Loire;2016;29138;1865;33671;9;972;5
Corse;2016;14552;232;15562;0;48;0
Grand Est;2016;69822;3957;80490;24;1518;12
Hauts-de-France;2016;113637;6767;161181;73;1477;16
Ile-de-France;2016;157511;17364;198154;51;4936;39
Normandie;2016;59120;2693;77361;10;1212;1
Nouvelle-Aquitaine;2016;72828;4633;84531;20;2035;32
Occitanie;2016;67031;3951;78225;26;1846;20
Pays de la Loire;2016;37588;2600;41206;10;1393;41
Provence-Alpes-Cote d'Azur;2016;77303;4228;67127;44;1697;40
Auvergne-Rhone-Alpes;2017;115984;9007;108299;173;3443;60
Bourgogne-Franche-Comte;2017;41272;2452;37613;32;670;2
Bretagne;2017;44097;3329;36359;40;1130;7
Centre-Val de Loire;2017;32811;2487;31200;25;1009;6
Corse;2017;17831;416;15652;1;90;0
Grand Est;2017;80102;5835;76837;58;1860;19
Hauts-de-France;2017;136141;8234;153245;193;1567;11
Ile-de-France;2017;166254;22336;183701;110;6080;80
Normandie;2017;68549;3399;72720;22;1237;7
Nouvelle-Aquitaine;2017;85371;7127;82780;84;2089;5
Occitanie;2017;78142;6331;74405;59;2275;24
Pays de la Loire;2017;42977;3785;40968;70;1364;32
Provence-Alpes-Cote d'Azur;2017;84135;6801;64405;76;2096;20
Auvergne-Rhone-Alpes;2018;133791;12185;94115;316;4150;34
Bourgogne-Franche-Comte;2018;46933;3247;32500;86;924;1
Bretagne;2018;54210;4655;30540;119;1271;4
Centre-Val de Loire;2018;38707;3378;27301;80;1080;0
Corse;2018;22078;631;11405;3;114;0
Grand Est;2018;93689;7635;65935;158;2324;18
Hauts-de-France;2018;172462;11115;122636;348;2042;26
Ile-de-France;2018;185245;25657;158849;271;7837;60
Normandie;2018;81901;4778;59347;96;1414;0
Nouvelle-Aquitaine;2018;105458;9902;70864;221;2680;5
Occitanie;2018;93092;8616;62047;171;2818;6
Pays de la Loire;2018;52381;5563;35323;165;1501;8
Provence-Alpes-Cote d'Azur;2018;94676;8859;53610;133;2790;10
Auvergne-Rhone-Alpes;2019;139877;13983;87025;287;5490;50
Bourgogne-Franche-Comte;2019;48933;3988;29555;83;1246;2
Bretagne;2019;53845;4955;29104;100;1693;16
Centre-Val de Loire;2019;40717;3793;25265;63;1497;3
Corse;2019;23154;640;10714;10;173;0
Grand Est;2019;97882;8906;61501;163;3169;16
Hauts-de-France;2019;193562;14368;107160;329;2936;27
Ile-de-France;2019;213374;30931;134949;290;10004;158
Normandie;2019;89859;6309;48745;108;1875;9
Nouvelle-Aquitaine;2019;108185;11251;64227;209;3317;21
Occitanie;2019;99050;9442;56572;139;3903;13
Pays de la Loire;2019;55061;6360;34280;153;2099;25
Provence-Alpes-Cote d'Azur;2019;103525;10196;47061;104;4860;23
