Region;Annee;Population
Auvergne-Rhone-Alpes;2014;7820966
Bourgogne-Franche-Comte;2014;2820623
Bretagne;2014;3276543
Centre-Val-de-Loire;2014;2577435
Corse;2014;324212
Grand Est;2014;5554645
Hauts-de-France;2014;6006156
Ile-de-France;2014;12027565
Normandie;2014;3335645
Nouvelle-Aquitaine;2014;5879144
Occitanie;2014;5730753
Pays de la Loire;2014;3690833
Provence-Alpes-Cote d'Azur;2014;4983438
Auvergne-Rhone-Alpes;2015;7877698
Bourgogne-Franche-Comte;2015;2820940
Bretagne;2015;3293850
Centre-Val-de-Loire;2015;2578592
Corse;2015;327283
Grand Est;2015;5559051
Hauts-de-France;2015;6009976
Ile-de-France;2015;12082144
Normandie;2015;3339131
Nouvelle-Aquitaine;2015;5911482
Occitanie;2015;5774185
Pays de la Loire;2015;3718512
Provence-Alpes-Cote d'Azur;2015;5007977
Auvergne-Rhone-Alpes;2015;7916889
Bourgogne-Franche-Comte;2016;2818338
Bretagne;2016;3306529
Centre-Val-de-Loire;2016;2577866
Corse;2016;330455
Grand Est;2016;5555186
Hauts-de-France;2016;6006870
Ile-de-France;2016;12117132
Normandie;2016;3335929
Nouvelle-Aquitaine;2016;5935603
Occitanie;2016;5808435
Pays de la Loire;2016;3737632
Provence-Alpes-Cote d'Azur;2016;5021928
Auvergne-Rhone-Alpes;2016;7948287
Bourgogne-Franche-Comte;2017;2811423
Bretagne;2017;3318904
Centre-Val-de-Loire;2017;2576252
Corse;2017;334938
Grand Est;2017;5549586
Hauts-de-France;2017;6003815
Ile-de-France;2017;12174880
Normandie;2017;3330478
Nouvelle-Aquitaine;2017;5956978
Occitanie;2017;5845102
Pays de la Loire;2017;3757600
Provence-Alpes-Cote d'Azur;2017;5030890
Auvergne-Rhone-Alpes;2018;None
Bourgogne-Franche-Comte;2018;None
Bretagne;2018;None
Centre-Val-de-Loire;2018;None
Corse;2018;None
Grand Est;2018;None
Hauts-de-France;2018;None
Ile-de-France;2018;None
Normandie;2018;None
Nouvelle-Aquitaine;2018;5979778
Occitanie;2018;5885496
Pays de la Loire;2018;3781423
Provence-Alpes-Cote d'Azur;2018;5052832
Auvergne-Rhone-Alpes;2019;8042936
Bourgogne-Franche-Comte;2019;2805580
Bretagne;2019;3354854
Centre-Val-de-Loire;2019;2573180
Corse;2019;340440
Grand Est;2019;5556219
Hauts-de-France;2019;6004947
Ile-de-France;2019;12262544
Normandie;2019;3325032
Nouvelle-Aquitaine;2019;6010289
Occitanie;2019;5933185
Pays de la Loire;2019;3806461
Provence-Alpes-Cote d'Azur;2019;5081101
Auvergne-Rhone-Alpes;2020;8082099
Bourgogne-Franche-Comte;2020;2800016
Bretagne;2020;3370113
Centre-Val-de-Loire;2020;2570734
Corse;2020;343634
Grand Est;2020;5554478
Hauts-de-France;2020;6001668
Ile-de-France;2020;12308593
Normandie;2020;3319638
Nouvelle-Aquitaine;2020;6033690
Occitanie;2020;5972810
Pays de la Loire;2020;3827922
Provence-Alpes-Cote d'Azur;2020;5098994
Auvergne-Rhone-Alpes;2021;8113805
Bourgogne-Franche-Comte;2021;2791809
Bretagne;2021;3386415
Centre-Val-de-Loire;2021;2567768
Corse;2021;346610
Grand Est;2021;5546553
Hauts-de-France;2021;5994428
Ile-de-France;2021;12348605
Normandie;2021;3313398
Nouvelle-Aquitaine;2021;6058437
Occitanie;2021;6013289
Pays de la Loire;2021;3849977
Provence-Alpes-Cote d'Azur;2021;5116360
Auvergne-Rhone-Alpes;2022;8153233
Bourgogne-Franche-Comte;2022;2785393
Bretagne;2022;3402932
Centre-Val-de-Loire;2022;2564915
Corse;2022;349465
Grand Est;2022;5542094
Hauts-de-France;2022;5987172
Ile-de-France;2022;12395148
Normandie;2022;3307286
Nouvelle-Aquitaine;2022;6081985
Occitanie;2022;6053548
Pays de la Loire;2022;3873096
Provence-Alpes-Cote d'Azur;2022;5131187
